name,brand,model,image_url,price,retail_price,colorway,sku,description,release_date,category,style_code,availability,rating,reviews_count,sizes,colors,gender,age_group,discount,is_featured,is_new,is_sale,url,main_color,series,occasion,inventory_count
Nike Tech Fleece Full Zip Windrunner Hooded Jacket Asia Sizing 'Black',Nike,FB7922-010,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_95ff39a2-3a68-4a52-b146-dd8c7b303ef9_x480.jpg?v=1708052290,80,290,"Black, Multi-Color",FB7922-010,Nike Tech Fleece Full Zip Windrunner Hooded Jacket Asia Sizing 'Black',20230907,Jackets,FB7922-010,in_stock,0,0,"S, XXL, XL, XS, L, M, XXXL","Black, Multi-Color",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/nike-tech-fleece-full-zip-windrunner-hoodie-black-fb7922-010,black,Hoodies,lifestyle,1
Nike Ja 3 'Max Volume',Nike,HF2793-600,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square-Photoroom-square_4549d465-0e29-4af3-8975-6aec0630a053_x480.jpg?v=1754891419,125,269,Hyper Pink,HF2793-600,Nike Ja 3 'Max Volume',20250815,Sneakers,HF2793-600,in_stock,0,0,"8.5, 8, 10, 10.5, 9.5, 13, 11.5, 11, 7.5, 12, 14, 9, 7",Hyper Pink,MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/nike-ja-3-max-volume-hf2793-600,pink,JA,basketball,1
(WMNS) Nike Air Rift BR 'Black',Nike,DN1338-004,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_43e3faa8-b4a4-43e1-bead-cb684f5a4e7d_x480.jpg?v=1743386439,91,141,"Black, Black",DN1338-004,(WMNS) Nike Air Rift BR 'Black',20250331,Sneakers,DN1338-004,in_stock,0,0,"6, 7, 8, 5, 10, 9, 11, 12","Black, Black",WOMENS,WOMENS,0,False,False,False,https://www.kickscrew.com/products/wmns-nike-air-rift-br-black-dn1338-004,black,Air Rift,lifestyle,1
Nike P-6000 'Black Cool Grey Celestine Blue',Nike,IF6199-003,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_68f766e7-fe73-4c01-bdd5-8f1b2ea4944b_x480.jpg?v=1752564619,84,165,"Black, Obsidian, Cool Grey, Black",IF6199-003,Nike P-6000 'Black Cool Grey Celestine Blue',20250702,Sneakers,IF6199-003,in_stock,0,0,"8, 7.5, 8.5, 6.5, 7, 9.5, 9, 6, 5.5, 4.5, 10, 4, 13, 11, 12.5, 12, 10.5","Black, Obsidian, Cool Grey, Black",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/nike-p-6000-black-cool-grey-celestine-blue-if6199-003,grey,P-6000,lifestyle,1
Nike Hoops Elite Backpack 32L 'White Black Gold',Nike,DX9786-100,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_dbca0ae3-24a6-45b2-8d1c-0848de83f76f_x480.jpg?v=1709017128,82,82,"White, Black, Metallic Gold",DX9786-100,Nike Hoops Elite Backpack 32L 'White Black Gold',20231019,Bags,DX9786-100,in_stock,0,0,F,"White, Black, Metallic Gold",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/nike-hoops-elite-backpack-32l-white-black-gold-dx9786-100,white,,lifestyle,1
Nike Ja 3 EP 'Light Show',Nike,HF2794-100,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_d803c70e-1b6d-4356-8489-415cf9dc990a_x480.jpg?v=1753672233,145,490,"White, Dusty Cactus, Hyper Pink, Star Blue",HF2794-100,Nike Ja 3 EP 'Light Show',20250805,Sneakers,HF2794-100,in_stock,0,0,"10.5, 10, 7.5, 11, 13, 12, 9.5, 8, 7, 6, 9, 8.5, 6.5, 5.5","White, Dusty Cactus, Hyper Pink, Star Blue",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/nike-ja-3-light-show-hf2794-100,grey,JA,basketball,1
Nike P-6000 'Metallic Silver',Nike,CN0149-001,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_125a1d26-7b7f-4ccb-8eea-7a82049dcaec_x480.jpg?v=1735881168,87,168,"Metallic Silver, Gray",CN0149-001,Nike P-6000 'Metallic Silver',20200601,Sneakers,CN0149-001,in_stock,0,0,"8, 3.5, 9, 8.5, 4, 4.5, 7.5, 9.5, 5, 10, 7, 5.5, 10.5, 6.5, 6, 11, 13, 12, 11.5, 14, 12.5","Metallic Silver, Gray",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/nike-p-6000-metallic-silver-metallic-silver-sail-black-cn0149-001,silver,P-6000,lifestyle,1
Nike Air Zoom GT Cut 1 'Black Chrome',Nike,CZ0175-006,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_782a1ed1-6552-424b-8365-612ca71d366d_x480.jpg?v=1753091422,202,426,"Black, Chrome",CZ0175-006,Nike Air Zoom GT Cut 1 'Black Chrome',20251201,Sneakers,CZ0175-006,in_stock,0,0,"8, 10, 8.5, 9.5, 12, 9, 11, 10.5, 7.5, 6.5, 11.5, 7, 13","Black, Chrome",MENS,MENS,0,False,False,False,https://www.kickscrew.com/products/nike-air-zoom-gt-cut-black-chrome-cz0175-006,black,Air Zoom GT Cut,basketball,1
(GS) Nike Ja 3 'Max Volume',Nike,IB4773-600,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square-Photoroom_20_1_x480.jpg?v=1755056419,118,121,"Hyper Pink, Black, Viotech, Mint Foam",IB4773-600,(GS) Nike Ja 3 'Max Volume',20251030,Sneakers,IB4773-600,in_stock,0,0,"5.5Y, 4Y, 6.5Y, 6Y, 4.5Y, 5Y, 7Y","Hyper Pink, Black, Viotech, Mint Foam",KIDS,KIDS,0,False,False,False,https://www.kickscrew.com/products/gs-nike-ja-3-max-volume-ib4773-600,pink,JA,basketball,1
(GS) Nike Kobe 9 EM Low TB 'Game Royal',Nike,FV3607-400,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_3fc74f61-9336-4d23-85d6-db473f5d8bd6_x480.jpg?v=1751004063,118,125,"Game Royal, White",FV3607-400,(GS) Nike Kobe 9 EM Low TB 'Game Royal',20251001,Sneakers,FV3607-400,in_stock,0,0,"4Y, 3.5Y, 7Y, 5Y, 6Y, 4.5Y, 5.5Y, 6.5Y","Game Royal, White",KIDS,KIDS,0,False,False,False,https://www.kickscrew.com/products/gs-nike-kobe-9-em-low-tb-game-royal-fv3607-400,blue,Kobe,basketball,1
